Influencer_ID,Name,Platform,Follower_Count,Gender
I001,Arjun Sharma,Instagram,76225,Male
I002,Priya Patel,Facebook,306787,Female
I003,Rohit Kumar,YouTube,196316,Male
I004,Ananya Singh,Instagram,759570,Female
I005,Vikram Reddy,Instagram,669176,Male
I006,Kavya Nair,LinkedIn,83326,Female
I007,Aditya Gupta,Instagram,148246,Male
I008,Sneha Joshi,YouTube,293962,Female
I009,Rahul Mehta,Instagram,638508,Male
I010,Pooja Agarwal,YouTube,800800,Female
I011,Karan Malhotra,LinkedIn,281148,Male
I012,Divya Iyer,LinkedIn,667889,Female
I013,Sanjay Verma,Facebook,898749,Male
I014,Riya Kapoor,Instagram,845667,Female
I015,Abhinav Jain,YouTube,782052,Male
I016,Meera Bansal,LinkedIn,406778,Female
I017,Deepak Yadav,Facebook,213032,Male
I018,Tanya Sinha,YouTube,850581,Female
I019,Akshay Pandey,Facebook,157175,Male
I020,Shreya Bhatt,Instagram,448382,Female
I021,Nikhil Desai,Instagram,426417,Male
I022,Aditi Kulkarni,Facebook,683052,Female
I023,Varun Chandra,Facebook,896335,Male
I024,Ishita Saxena,Instagram,815179,Female
I025,Manish Agrawal,LinkedIn,612275,Male
I026,Nisha Thakur,Instagram,446922,Female
I027,Rajesh Pillai,Instagram,628856,Male
I028,Simran Kaur,Facebook,919693,Female
I029,Gaurav Mishra,Facebook,655397,Male
I030,Ankita Rao,YouTube,788797,Female
I031,Harsh Goyal,Instagram,98050,Male
I032,Ritu Sharma,YouTube,860620,Female
I033,Arun Tiwari,Facebook,133667,Male
I034,Madhuri Devi,YouTube,958573,Female
I035,Shubham Arora,Instagram,448591,Male
I036,Swati Chopra,Facebook,525435,Female
I037,Ajay Dubey,Facebook,220555,Male
I038,Kritika Bajaj,Facebook,422528,Female
I039,Vishal Soni,YouTube,752729,Male
I040,Shilpa Menon,Facebook,785911,Female
I041,Rohit Bhatia,Instagram,688720,Male
I042,Pallavi Chauhan,YouTube,610086,Female
I043,Ankit Varma,YouTube,221339,Male
I044,Sonal Garg,LinkedIn,447887,Female
I045,Suresh Khanna,Facebook,721088,Male
I046,Neha Jindal,YouTube,767870,Female
I047,Raj Mohan,Facebook,933794,Male
I048,Akanksha Roy,Instagram,290174,Female
I049,Tarun Sethi,Instagram,894151,Male
I050,Richa Oberoi,Facebook,470651,Female
